coordinate_velocity_c,positive_energy_J,scaling_factor,tidal_acceleration_g,t_stress_tensor,viable_operation,earth_proxima_days,energy_efficiency,velocity_category
210.0,1.8763051824790834e+62,1.006923543353162,3.433117951713942,2.48852703783739e+41,False,7.3745714285714286,5.3296233967586337e-48,HIGH_VELOCITY
220.0,1.8853962385781773e+62,1.0048451905286977,3.746985036788507,2.5005844254715275e+41,False,7.039363636363637,5.303924870212556e-48,HIGH_VELOCITY
230.0,1.8912180484169585e+62,1.003087844199356,4.069671292820602,2.5083058405847197e+41,False,6.733304347826087,5.28759759265754e-48,HIGH_VELOCITY
240.0,1.8942333608369098e+62,1.0015943758692845,4.400648987906648,2.5123050228897334e+41,False,6.45275,5.279180594508061e-48,HIGH_VELOCITY
250.0,1.8948379776386775e+62,1.0003191881287006,4.739416331695591,2.5131069208287143e+41,False,6.194640000000001,5.2774960804099307e-48,HIGH_VELOCITY
260.0,1.8933706744732872e+62,0.999225631329588,5.085496335229886,2.511160849563829e+41,False,5.956384615384616,5.281585975119151e-48,HIGH_VELOCITY
270.0,1.8901217497366015e+62,0.9982840524676503,5.438435656747396,2.506851829300687e+41,False,5.735777777777778,5.2906644777742774e-48,HIGH_VELOCITY
280.0,1.8853403261234532e+62,0.9974703091936725,5.797803455830786,2.5005102692752797e+41,False,5.530928571428571,5.304082165664765e-48,HIGH_VELOCITY
290.0,1.8792405510223406e+62,0.9967646291671622,6.1631902712342,2.4924201912828554e+41,False,5.340206896551725,5.3212985397531037e-48,HIGH_VELOCITY
300.0,1.8720068429921273e+62,0.9961507280021825,6.534206932625239,2.4828261880337554e+41,False,5.1622,5.3418608150045397e-48,HIGH_VELOCITY
310.0,1.8637983221118743e+62,0.995615122396063,6.910483512805396,2.4719392990873778e+41,False,4.9956774193548386,5.365387381972196e-48,HIGH_VELOCITY
320.0,1.85475254784945e+62,0.995146591691222,7.291668324324042,2.459941968354392e+41,False,4.8395625,5.39155479883007e-48,HIGH_VELOCITY
330.0,1.8449886725426776e+62,0.9947357531234593,7.677426962500511,2.446992226531011e+41,False,4.692909090909091,5.420087477403568e-48,HIGH_VELOCITY
340.0,1.8346101033970004e+62,0.9943747247340148,8.06744139551372,2.433227221683048e+41,False,4.554882352941177,5.450749443428771e-48,HIGH_VELOCITY
350.0,1.823706751947196e+62,0.994056856315347,8.46140910126336,2.418766202687177e+41,False,4.424742857142857,5.4833377072947e-48,HIGH_VELOCITY
360.0,1.8123569375619241e+62,0.9937765134810443,8.859042250043743,2.403713043832248e+41,False,4.301833333333334,5.517676895067103e-48,HIGH_VELOCITY
